"Population_number","Sample.number","Sample.identity","Location.details","Lat","Long","pg2C","S.D.","hybrid","ploidy","specPop","popMeans","popSd","popN","spMeans","spSd","spN","pg1C"
"E4E0112","","E. arctica x nemorosa","Beeston Common, Norfolk, England",52.934417,1.2200712,2.35,0.02,TRUE,"tet","E. arctica x nemorosa.E4E0112",1.20166666666667,0.0340342964277702,3,1.19,0.0447213595499958,11,1.175
"E4E0114","","E. nemorosa","Trethew, England",50.395851,-4.7095575,2.27,0.01,FALSE,"tet","E. nemorosa.E4E0114",1.135,NA,1,1.19297727272727,0.0486823277399375,22,1.135
"E4E0123","","E. arctica x confusa","Bloody Oaks Triangle, Tickercote, Rutland",52.689497,-0.5626348,2.38,0.01,TRUE,"tet","E. arctica x confusa.E4E0123",1.19666666666667,0.00577350269189626,3,1.19375,0.00749999999999996,4,1.19
"E4E0123","","E. arctica x confusa","Bloody Oaks Triangle, Tickercote, Rutland",52.689497,-0.5626348,2.4,0.03,TRUE,"tet","E. arctica x confusa.E4E0123",1.19666666666667,0.00577350269189626,3,1.19375,0.00749999999999996,4,1.2
"E4E0123","","E. arctica x confusa","Bloody Oaks Triangle, Tickercote, Rutland",52.689497,-0.5626348,2.4,0.01,TRUE,"tet","E. arctica x confusa.E4E0123",1.19666666666667,0.00577350269189626,3,1.19375,0.00749999999999996,4,1.2
"E4E0138","","E. arctica","Meall a Bathaich, Glen Garry, Perthsire",56.413176,-4.0308506,2.48,0.01,FALSE,"tet","E. arctica.E4E0138",1.24333333333333,0.00577350269189626,3,1.24333333333333,0.00577350269189626,3,1.24
"E4E0138","","E. arctica","Meall a Bathaich, Glen Garry, Perthsire",56.413176,-4.0308506,2.48,0.01,FALSE,"tet","E. arctica.E4E0138",1.24333333333333,0.00577350269189626,3,1.24333333333333,0.00577350269189626,3,1.24
"E4E0138","","E. arctica","Meall a Bathaich, Glen Garry, Perthsire",56.413176,-4.0308506,2.5,0.02,FALSE,"tet","E. arctica.E4E0138",1.24333333333333,0.00577350269189626,3,1.24333333333333,0.00577350269189626,3,1.25
"E4E0143","","E. tetraquetra","Ballyteige Burrow, County Wexford, Ireland",52.202675,-6.643254,2.24,0.02,FALSE,"tet","E. tetraquetra.E4E0143",1.16,0.0492442890089805,3,1.159875,0.0343493663653118,8,1.12
"E4E0143","","E. tetraquetra","Ballyteige Burrow, County Wexford, Ireland",52.202675,-6.643254,2.29,0,FALSE,"tet","E. tetraquetra.E4E0143",1.16,0.0492442890089805,3,1.159875,0.0343493663653118,8,1.145
"E4E0143","","E. tetraquetra","Ballyteige Burrow, County Wexford, Ireland",52.202675,-6.643254,2.43,0.02,FALSE,"tet","E. tetraquetra.E4E0143",1.16,0.0492442890089805,3,1.159875,0.0343493663653118,8,1.215
"E4E0144","","E. arctica","Balachuirn, Isle of Raasay, Scotland",57.389956,-6.0687681,2.45,0.01,FALSE,"tet","E. arctica.E4E0144",1.215,0.014142135623731,2,1.1894409256875,0.0659296952973628,40,1.225
"E4E0144","","E. arctica","Balachuirn, Isle of Raasay, Scotland",57.389956,-6.0687681,2.41,0.01,FALSE,"tet","E. arctica.E4E0144",1.215,0.014142135623731,2,1.1894409256875,0.0659296952973628,40,1.205
"E4E0145","","E. arctica x nemorosa","North Ebudes, Kyleakin, Skye, Scotland",57.266848,-5.7604183,2.36,0,TRUE,"tet","E. arctica x nemorosa.E4E0145",1.21333333333333,0.0292973263854117,3,1.19,0.0447213595499958,11,1.18
"E4E0145","","E. arctica x nemorosa","North Ebudes, Kyleakin, Skye, Scotland",57.266848,-5.7604183,2.45,0.01,TRUE,"tet","E. arctica x nemorosa.E4E0145",1.21333333333333,0.0292973263854117,3,1.19,0.0447213595499958,11,1.225
"E4E0145","","E. arctica x nemorosa","North Ebudes, Kyleakin, Skye, Scotland",57.266848,-5.7604183,2.47,0.01,TRUE,"tet","E. arctica x nemorosa.E4E0145",1.21333333333333,0.0292973263854117,3,1.19,0.0447213595499958,11,1.235
"E4E0169","","E. nemorosa","Hill east of Barton-le-Clay, Bedfordshire, England",51.959558,-0.40460579,2.28,0.02,FALSE,"tet","E. nemorosa.E4E0169",1.12666666666667,0.0189296944860009,3,1.19297727272727,0.0486823277399375,22,1.14
"E4E0169","","E. nemorosa","Hill east of Barton-le-Clay, Bedfordshire, England",51.959558,-0.40460579,2.27,0.01,FALSE,"tet","E. nemorosa.E4E0169",1.12666666666667,0.0189296944860009,3,1.19297727272727,0.0486823277399375,22,1.135
"E4E0169","","E. nemorosa","Hill east of Barton-le-Clay, Bedfordshire, England",51.959558,-0.40460579,2.21,0.01,FALSE,"tet","E. nemorosa.E4E0169",1.12666666666667,0.0189296944860009,3,1.19297727272727,0.0486823277399375,22,1.105
"E4E0171","","E. pseudokerneri","Barton Hills NNR, Bedfordshire, England",51.955137,-0.4168416,2.33,0.01,FALSE,"tet","E. pseudokerneri.E4E0171",1.165,0.0408248290463863,4,1.165,0.0374165738677394,9,1.165
"E4E0171","","E. pseudokerneri","Barton Hills NNR, Bedfordshire, England",51.955137,-0.4168416,2.43,0,FALSE,"tet","E. pseudokerneri.E4E0171",1.165,0.0408248290463863,4,1.165,0.0374165738677394,9,1.215
"E4E0171","","E. pseudokerneri","Barton Hills NNR, Bedfordshire, England",51.955137,-0.4168416,2.33,0,FALSE,"tet","E. pseudokerneri.E4E0171",1.165,0.0408248290463863,4,1.165,0.0374165738677394,9,1.165
"E4E0171","","E. pseudokerneri","Barton Hills NNR, Bedfordshire, England",51.955137,-0.4168416,2.23,0.02,FALSE,"tet","E. pseudokerneri.E4E0171",1.165,0.0408248290463863,4,1.165,0.0374165738677394,9,1.115
"E4E0188","","E. micrantha","Meall a Bathaich, Glen Garry, Perthsire",56.820821,-4.1828115,2.4,0.01,FALSE,"tet","E. micrantha.E4E0188",1.2,NA,1,1.18449019611765,0.0182611714998456,17,1.2
"E4E0246","","E. pseudokerneri","Bevendean Down, Brighton, East Sussex",50.8437,-0.106772,2.26,0.02,FALSE,"tet","E. pseudokerneri.E4E0246",1.15166666666667,0.0202072594216369,3,1.165,0.0374165738677394,9,1.13
"E4E0246","","E. pseudokerneri","Bevendean Down, Brighton, East Sussex",50.8437,-0.106772,2.31,0.02,FALSE,"tet","E. pseudokerneri.E4E0246",1.15166666666667,0.0202072594216369,3,1.165,0.0374165738677394,9,1.155
"E4E0246","","E. pseudokerneri","Bevendean Down, Brighton, East Sussex",50.8437,-0.106772,2.34,0.03,FALSE,"tet","E. pseudokerneri.E4E0246",1.15166666666667,0.0202072594216369,3,1.165,0.0374165738677394,9,1.17
"E4E0247","","E. arctica","Elsdon, Northumberland, England",55.227697,-2.102342,2.43,0.02,FALSE,"tet","E. arctica.E4E0247",1.2175,0.00353553390593266,2,1.1894409256875,0.0659296952973628,40,1.215
"E4E0247","","E. arctica","Elsdon, Northumberland, England",55.227697,-2.102342,2.44,0.02,FALSE,"tet","E. arctica.E4E0247",1.2175,0.00353553390593266,2,1.1894409256875,0.0659296952973628,40,1.22
"FIA103","FI-A103-1","E. foulaensis x micrantha","near FIBO, Fair Isle, Shetland",59.536285,-1.610124,2.332666667,0.030664855,TRUE,"tet","E. foulaensis x micrantha.FIA103",1.17883333333333,0.0131222880076439,3,1.17883333333333,0.0131222880076439,3,1.1663333335
"FIA103","FI-A103-2","E. foulaensis x micrantha","near FIBO, Fair Isle, Shetland",59.536285,-1.610124,2.385,0.028618176,TRUE,"tet","E. foulaensis x micrantha.FIA103",1.17883333333333,0.0131222880076439,3,1.17883333333333,0.0131222880076439,3,1.1925
"FIA103","FI-A103-3","E. foulaensis x micrantha","near FIBO, Fair Isle, Shetland",59.536285,-1.610124,2.355333333,0.077848143,TRUE,"tet","E. foulaensis x micrantha.FIA103",1.17883333333333,0.0131222880076439,3,1.17883333333333,0.0131222880076439,3,1.1776666665
"FIA105","FI-A105-2","E. foulaensis","opposite Sheep Rock, Fair Isle, Shetland",59.526979,-1.61392,2.008333333,0.037872593,FALSE,"tet","E. foulaensis.FIA105",0.999,0.00730676983655869,2,1.16043646207692,0.0943952443288476,13,1.0041666665
"FIA105","FI-A105-3","E. foulaensis","opposite Sheep Rock, Fair Isle, Shetland",59.526979,-1.61392,1.987666667,0.055075705,FALSE,"tet","E. foulaensis.FIA105",0.999,0.00730676983655869,2,1.16043646207692,0.0943952443288476,13,0.9938333335
"FIA107","FI-A107-1","E. micrantha","Vasetter, Fair Isle, Shetland",59.528127,-1.621667,2.331,0.012124356,FALSE,"tet","E. micrantha.FIA107",1.18261111116667,0.0183562987370568,3,1.18449019611765,0.0182611714998456,17,1.1655
"FIA107","FI-A107-2","E. micrantha","Vasetter, Fair Isle, Shetland",59.528127,-1.621667,2.360666667,0.043247351,FALSE,"tet","E. micrantha.FIA107",1.18261111116667,0.0183562987370568,3,1.18449019611765,0.0182611714998456,17,1.1803333335
"FIA107","FI-A107-3","E. micrantha","Vasetter, Fair Isle, Shetland",59.528127,-1.621667,2.404,0.021517435,FALSE,"tet","E. micrantha.FIA107",1.18261111116667,0.0183562987370568,3,1.18449019611765,0.0182611714998456,17,1.202
"FIA111","FI-A111-1","E. micrantha","S of airstrip, Fair Isle, Shetland",59.532087,-1.62924,2.368666667,0.029687259,FALSE,"tet","E. micrantha.FIA111",1.1990833335,0.0208596500450032,2,1.18449019611765,0.0182611714998456,17,1.1843333335
"FIA111","FI-A111-2","E. micrantha","S of airstrip, Fair Isle, Shetland",59.532087,-1.62924,2.427666667,0.028988503,FALSE,"tet","E. micrantha.FIA111",1.1990833335,0.0208596500450032,2,1.18449019611765,0.0182611714998456,17,1.2138333335
"FIA112","FI-A112-1","E. micrantha","N of airstrip, Fair Isle, Shetland",59.537202,-1.629517,2.352,0.007,FALSE,"tet","E. micrantha.FIA112",1.18222222233333,0.0109218605591756,3,1.18449019611765,0.0182611714998456,17,1.176
"FIA112","FI-A112-2","E. micrantha","N of airstrip, Fair Isle, Shetland",59.537202,-1.629517,2.351666667,0.010692677,FALSE,"tet","E. micrantha.FIA112",1.18222222233333,0.0109218605591756,3,1.18449019611765,0.0182611714998456,17,1.1758333335
"FIA112","FI-A112-3","E. micrantha","N of airstrip, Fair Isle, Shetland",59.537202,-1.629517,2.389666667,0.024193663,FALSE,"tet","E. micrantha.FIA112",1.18222222233333,0.0109218605591756,3,1.18449019611765,0.0182611714998456,17,1.1948333335
"FIA113","FI-A113-1","E. foulaensis","cliffs W of airstrip, Fair Isle, Shetland",59.53981,-1.641329,2.02,0.014525839,FALSE,"tet","E. foulaensis.FIA113",1.01,NA,1,1.16043646207692,0.0943952443288476,13,1.01
"FIA114","FI-A114-1","E. ostenfeldii","Ward Hill, Fair Isle, Shetland",59.546654,-1.632024,2.315333333,0.045081408,FALSE,"tet","E. ostenfeldii.FIA114",1.1576666665,NA,1,1.1576666665,NA,1,1.1576666665
"FIFE1","","E. arctica","Inverkeithing, Fife, Scotland",56.025945,-3.383163,2.22,0.01,FALSE,"tet","E. arctica.FIFE1",1.15666666666667,0.0407226390762354,3,1.1894409256875,0.0659296952973628,40,1.11
"FIFE1","","E. arctica","Inverkeithing, Fife, Scotland",56.025945,-3.383163,2.35,0.03,FALSE,"tet","E. arctica.FIFE1",1.15666666666667,0.0407226390762354,3,1.1894409256875,0.0659296952973628,40,1.175
"FIFE1","","E. arctica x confusa","Inverkeithing, Fife, Scotland",56.025945,-3.383163,2.37,0.02,TRUE,"tet","E. arctica x confusa.FIFE1",1.15666666666667,0.0407226390762354,3,1.19375,0.00749999999999996,4,1.185
"FIH072","FI-H072-3","E. arctica","working farm, Fair Isle, Shetland",59.524622,-1.636012,2.622,0.02,FALSE,"tet","E. arctica.FIH072",1.2541274054,0.0473778589618893,5,1.1894409256875,0.0659296952973628,40,1.311
"FIH072","072-19-early-3","E. arctica","working farm, Fair Isle, Shetland",59.524622,-1.636012,2.595096774,0.02463737,FALSE,"tet","E. arctica.FIH072",1.2541274054,0.0473778589618893,5,1.1894409256875,0.0659296952973628,40,1.297548387
"FIH072","072-19-late-2","E. arctica","working farm, Fair Isle, Shetland",59.524622,-1.636012,2.461428279,0.033975481,FALSE,"tet","E. arctica.FIH072",1.2541274054,0.0473778589618893,5,1.1894409256875,0.0659296952973628,40,1.2307141395
"FIH072","072-19-late-3","E. arctica","working farm, Fair Isle, Shetland",59.524622,-1.636012,2.404717406,0.051626866,FALSE,"tet","E. arctica.FIH072",1.2541274054,0.0473778589618893,5,1.1894409256875,0.0659296952973628,40,1.202358703
"FIH072","072-19-late-1","E. arctica","working farm, Fair Isle, Shetland",59.524622,-1.636012,2.458031595,0.001414214,FALSE,"tet","E. arctica.FIH072",1.2541274054,0.0473778589618893,5,1.1894409256875,0.0659296952973628,40,1.2290157975
"FIH092","FI-H092-1","E. arctica","near southern chapel, Fair Isle, Shetland",59.517135,-1.64082,2.458666667,0.04315476,FALSE,"tet","E. arctica.FIH092",1.21566666683333,0.0175807660053063,3,1.1894409256875,0.0659296952973628,40,1.2293333335
"FIH092","FI-H092-2","E. arctica","near southern chapel, Fair Isle, Shetland",59.517135,-1.64082,2.443666667,0.036004629,FALSE,"tet","E. arctica.FIH092",1.21566666683333,0.0175807660053063,3,1.1894409256875,0.0659296952973628,40,1.2218333335
"FIH092","FI-H092-3","E. arctica","near southern chapel, Fair Isle, Shetland",59.517135,-1.64082,2.391666667,0.05173329,FALSE,"tet","E. arctica.FIH092",1.21566666683333,0.0175807660053063,3,1.1894409256875,0.0659296952973628,40,1.1958333335
"FIH096","FI-H096-1","E. foulaensis x marshalli","S coast, Fair Isle, Shetland",59.512637,-1.640086,2.009333333,0.006658328,TRUE,"tet","E. foulaensis x marshalli.FIH096",1.00783333325,0.00447834306536592,2,1.00783333325,0.00447834306536592,2,1.0046666665
"FIH096","FI-H096-2","E. foulaensis x marshalli","S coast, Fair Isle, Shetland",59.512637,-1.640086,2.022,0.02879236,TRUE,"tet","E. foulaensis x marshalli.FIH096",1.00783333325,0.00447834306536592,2,1.00783333325,0.00447834306536592,2,1.011
"FIH097","FI-H097-1","E. arctica x foulaensis","between Puffinn and S light, Fair Isle, Shetland",59.514039,-1.649269,2.369666667,0.036828431,TRUE,"tet","E. arctica x foulaensis.FIH097",1.18083333333333,0.0137759855021539,3,1.18083333333333,0.0137759855021539,3,1.1848333335
"FIH097","FI-H097-2","E. arctica x foulaensis","between Puffinn and S light, Fair Isle, Shetland",59.514039,-1.649269,2.384333333,0.046457866,TRUE,"tet","E. arctica x foulaensis.FIH097",1.18083333333333,0.0137759855021539,3,1.18083333333333,0.0137759855021539,3,1.1921666665
"FIH097","FI-H097-3","E. arctica x foulaensis","between Puffinn and S light, Fair Isle, Shetland",59.514039,-1.649269,2.331,0.066730802,TRUE,"tet","E. arctica x foulaensis.FIH097",1.18083333333333,0.0137759855021539,3,1.18083333333333,0.0137759855021539,3,1.1655
"FIH098","FI-H098-1","E. foulaensis","near S light, Fair Isle, Shetland",59.513855,-1.650254,2.449666667,0.016802778,FALSE,"tet","E. foulaensis.FIH098",1.23872222216667,0.0120385182350777,3,1.16043646207692,0.0943952443288476,13,1.2248333335
"FIH098","FI-H098-2","E. foulaensis","near S light, Fair Isle, Shetland",59.513855,-1.650254,2.492333333,0.028378396,FALSE,"tet","E. foulaensis.FIH098",1.23872222216667,0.0120385182350777,3,1.16043646207692,0.0943952443288476,13,1.2461666665
"FIH098","FI-H098-3","E. foulaensis","near S light, Fair Isle, Shetland",59.513855,-1.650254,2.490333333,0.008736895,FALSE,"tet","E. foulaensis.FIH098",1.23872222216667,0.0120385182350777,3,1.16043646207692,0.0943952443288476,13,1.2451666665
"FIH100","FI-H100-2","E. foulaensis","cliffs W of ruin, Fair Isle, Shetland",59.527879,-1.645239,2.424,0.025238859,FALSE,"tet","E. foulaensis.FIH100",1.21325,0.00176776695296633,2,1.16043646207692,0.0943952443288476,13,1.212
"FIH100","FI-H100-3","E. foulaensis","cliffs W of ruin, Fair Isle, Shetland",59.527879,-1.645239,2.429,0.042142615,FALSE,"tet","E. foulaensis.FIH100",1.21325,0.00176776695296633,2,1.16043646207692,0.0943952443288476,13,1.2145
"FIH101","FI-H101-1","E. foulaensis","cliffs near W end of walldyke, Fair Isle, Shetland",59.532797,-1.641851,2.439333333,0.020207259,FALSE,"tet","E. foulaensis.FIH101",1.20725,0.0175598181637636,2,1.16043646207692,0.0943952443288476,13,1.2196666665
"FIH101","FI-H101-2","E. foulaensis","cliffs near W end of walldyke, Fair Isle, Shetland",59.532797,-1.641851,2.389666667,0.057570247,FALSE,"tet","E. foulaensis.FIH101",1.20725,0.0175598181637636,2,1.16043646207692,0.0943952443288476,13,1.1948333335
"FIH137","137-19-1","E. foulaensis","near S light, Fair Isle, Shetland",59.51325,-1.651723003,2.300348014,0.016263456,FALSE,"tet","E. foulaensis.FIH137",1.150174007,NA,1,1.16043646207692,0.0943952443288476,13,1.150174007
"FIMXB024","FI-MXB024-2","E. foulaensis","N Light, Fair Isle, Shetland",59.552,-1.6099,2.309666667,0.025026652,FALSE,"tet","E. foulaensis.FIMXB024",1.18516666675,0.0428978112741327,2,1.16043646207692,0.0943952443288476,13,1.1548333335
"FIMXB024","FI-MXB024-3","E. foulaensis","N Light, Fair Isle, Shetland",59.552,-1.6099,2.431,0.022649503,FALSE,"tet","E. foulaensis.FIMXB024",1.18516666675,0.0428978112741327,2,1.16043646207692,0.0943952443288476,13,1.2155
"FIMXB025","FI-MXB025-1","E. confusa x foulaensis","N Light, Fair Isle, Shetland",59.552257,-1.609917,2.332,0.005291503,TRUE,"tet","E. confusa x foulaensis.FIMXB025",1.1579444445,0.00834721058143019,3,1.1579444445,0.00834721058143019,3,1.166
"FIMXB025","FI-MXB025-2","E. confusa x foulaensis","N Light, Fair Isle, Shetland",59.552257,-1.609917,2.317,0.053814496,TRUE,"tet","E. confusa x foulaensis.FIMXB025",1.1579444445,0.00834721058143019,3,1.1579444445,0.00834721058143019,3,1.1585
"FIMXB025","FI-MXB025-3","E. confusa x foulaensis","N Light, Fair Isle, Shetland",59.552257,-1.609917,2.298666667,0.050123182,TRUE,"tet","E. confusa x foulaensis.FIMXB025",1.1579444445,0.00834721058143019,3,1.1579444445,0.00834721058143019,3,1.1493333335
"FIMXB026","FI-MXB026-1","E. micrantha","N Light, Fair Isle, Shetland",59.552,-1.6099,2.343333333,0.013051181,FALSE,"tet","E. micrantha.FIMXB026",1.1725,0.00117851153767989,2,1.18449019611765,0.0182611714998456,17,1.1716666665
"FIMXB026","FI-MXB026-2","E. micrantha","N Light, Fair Isle, Shetland",59.552,-1.6099,2.346666667,0.032005208,FALSE,"tet","E. micrantha.FIMXB026",1.1725,0.00117851153767989,2,1.18449019611765,0.0182611714998456,17,1.1733333335
